student,take_exam,social,gender,pretest,posttest,Fi,CBi,Vi,MApi,PApi,total_time,total_activity,total_time_be,total_activity_be,qp_time,wa_time,qp_activity,wa_activity,exam_norm,lgain_pp,lgain_pe
user0277,1,0,0,0.09,0.18,0.5,0.25,0.67,0.44,0.17,1745992656.0,249.0,1013.0,249.0,70115412.0,1675877244.0,256.0,757.0,76.0,0.09,100.0
user0278,1,0,0,0.0,0.45,0.67,0.4,0.67,0.72,0.61,429352297.0,87.0,504.0,87.0,23988942.0,405363355.0,152.0,352.0,92.0,0.45,0.0
user0304,1,0,1,0.36,0.73,0.58,0.45,0.67,0.67,0.56,683265222.0,105.0,957.0,105.0,47732166.0,635533056.0,322.0,635.0,97.0,0.37,102.77777777777779
user0310,1,0,0,0.18,0.64,0.5,0.45,0.6,0.5,0.33,2600084347.0,361.0,2549.0,361.0,223279851.0,2376804496.0,1075.0,1474.0,81.0,0.46,255.55555555555557
user0320,1,0,0,0.18,1.0,0.42,0.15,1,0.5,0.28,529586698.0,139.0,2175.0,139.0,38079350.0,491507348.0,307.0,1868.0,98.0,0.8200000000000001,455.5555555555556
user0327,1,0,1,0.64,,0.42,0.6,0.8,0.67,0.67,6087495.0,1.0,25.0,1.0,6087495.0,0.0,25.0,0.0,84.0,,
user0282,1,0,1,0.18,0.55,0.42,0.5,0.6,0.56,0.67,7136550811.0,1011.0,12118.0,1011.0,409916124.0,6726634687.0,3925.0,8193.0,69.0,0.37000000000000005,205.55555555555557
user0333,1,0,1,0.45,0.45,0.5,0.4,0.87,0.56,0.72,312098411.0,59.0,652.0,59.0,31580200.0,280518211.0,176.0,476.0,94.0,0.0,0.0
user0299,1,0,1,0.27,0.91,0.58,0.8,0.6,0.61,0.67,2267442461.0,331.0,2450.0,331.0,212374397.0,2055068064.0,1198.0,1252.0,97.0,0.64,237.037037037037
user0315,1,0,1,0.45,0.73,0.67,0.55,0.8,0.61,1,15603893.0,2.0,44.0,2.0,15603893.0,0.0,44.0,0.0,90.0,0.27999999999999997,62.222222222222214
user0316,1,0,0,0.27,0.73,0.5,0.4,0.93,0.61,0.83,3416610510.0,643.0,6868.0,643.0,189796838.0,3226813672.0,2457.0,4411.0,89.0,0.45999999999999996,170.37037037037035
user0326,1,0,1,0.18,0.82,0.58,0.4,0.73,0.72,0.67,261206051.0,36.0,1287.0,36.0,94321163.0,166884888.0,473.0,814.0,69.0,0.6399999999999999,355.55555555555554
user0294,1,0,0,0.09,,0.67,0.7,0.73,1,0.67,577251593.0,106.0,1035.0,106.0,43563322.0,533688271.0,644.0,391.0,57.0,,
user0264,1,0,0,0.09,0.09,0.67,0.6,0.67,0.78,0.78,1013563147.0,165.0,2043.0,165.0,92130043.0,921433104.0,445.0,1598.0,70.0,0.0,0.0
user0271,1,0,1,0.18,0.73,0.58,0.55,0.87,0.78,0.78,338847115.0,83.0,417.0,83.0,24493451.0,314353664.0,188.0,229.0,93.0,0.55,305.5555555555556
user0285,1,0,1,0.18,0.45,0.58,0.2,0.6,0.78,0.83,598582535.0,108.0,727.0,108.0,88677571.0,509904964.0,310.0,417.0,89.0,0.27,150.00000000000003
user0305,1,0,1,0.55,0.91,0.33,0.75,0.6,0.78,0.83,4677602327.0,634.0,6535.0,634.0,450021091.0,4227581236.0,3197.0,3338.0,92.0,0.36,65.45454545454544
user0255,1,0,1,0.27,,0.67,0.65,0.8,0.67,0.28,406084405.0,88.0,4974.0,88.0,85378114.0,320706291.0,1077.0,3897.0,81.0,,
